Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
Initiative Measure No. 1433 concerns labor standards.,Yes,,1848583,57.42,State Executive
Initiative Measure No. 1433 concerns labor standards.,No,,1370907,42.58,State Executive
Initiative Measure No. 1464 concerns campaign finance laws and lobbyists.,Yes,,1415798,46.29,State Executive
Initiative Measure No. 1464 concerns campaign finance laws and lobbyists.,No,,1642784,53.71,State Executive
Initiative Measure No. 1491 concerns court-issued extreme risk protection orders temporarily preventing access to firearms.,Yes,,2234799,69.39,State Executive
Initiative Measure No. 1491 concerns court-issued extreme risk protection orders temporarily preventing access to firearms.,No,,985658,30.61,State Executive
Initiative Measure No. 1501 concerns seniors and vulnerable individuals.,Yes,,2247906,70.64,State Executive
Initiative Measure No. 1501 concerns seniors and vulnerable individuals.,No,,934365,29.36,State Executive
Initiative Measure No. 732 concerns taxes.,Yes,,1265123,40.75,State Executive
Initiative Measure No. 732 concerns taxes.,No,,1839414,59.25,State Executive
Initiative Measure No. 735 concerns a proposed amendment to the federal constitution.,Yes,,1923489,62.82,State Executive
Initiative Measure No. 735 concerns a proposed amendment to the federal constitution.,No,,1138453,37.18,State Executive
Advisory Vote No. 14 House Bill 2768,Repealed,,2038321,69.14,State Executive
Advisory Vote No. 14 House Bill 2768,Maintained,,909701,30.86,State Executive
Advisory Vote No. 15 Second Engrossed Substitute House Bill 2778,Repealed,,1754489,59.9,State Executive
Advisory Vote No. 15 Second Engrossed Substitute House Bill 2778,Maintained,,1174345,40.1,State Executive
Proposed Amendments to the Constitution - Senate Joint Resolution No. 8210 concerns the deadline for completing state legislative and congressional redistricting.,Approved,,2246030,77.32,State Executive
Proposed Amendments to the Constitution - Senate Joint Resolution No. 8210 concerns the deadline for completing state legislative and congressional redistricting.,Rejected,,658927,22.68,State Executive
President/Vice President,Hillary Clinton / Tim Kaine,Democratic Party Nominees,1742718,54.3,Federal
President/Vice President,Donald J. Trump / Michael R. Pence,Republican Party Nominees,1221747,38.07,Federal
President/Vice President,Alyson Kennedy / Osborne Hart,Socialist Workers Party Nominees,4307,0.13,Federal
President/Vice President,Gloria Estela La Riva / Eugene Puryear,Socialism &amp; Liberation Party Nominees,3523,0.11,Federal
President/Vice President,Jill Stein / Ajamu Baraka,Green Party Nominees,58417,1.82,Federal
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution Party Nominees,17623,0.55,Federal
President/Vice President,Gary Johnson / Bill Weld,Libertarian Party Nominees,160879,5.01,Federal
U.S. Senator,Patty Murray,(Prefers Democratic Party),1913979,59.01,Federal
U.S. Senator,Chris Vance,(Prefers Republican Party),1329338,40.99,Federal
Congressional District 1 - U.S. Representative,Suzan DelBene ,(Prefers Democratic Party),193619,55.42,Congressional
